objetID;dateReferentiel;route;longueur;ploD;absD;cumulD;xD;yD;zD;ploF;absF;cumulF;xF;yF;zF;cote;voie;accrochage;CodeMacroSection;MacroSectionEquipee;NomStationRef;CodeSiredoStationRef;TypeStationRef;TypeStationRef_lib;DateStationRef;IndiceNational;sectionnement_gestionnaire
Obx54ySqFt_5863;01/01/2019;A0035;5600;67PR215D;940;14191;1070628,73;6873595,06;0;67PR221D;572;19791;1066785,7;6869697,74;0;I;0;ACCROCHE;A0035_M2;1;LEUTENHEIM;MZB67.S;2;QT, TT, VT, LC, VC;01/06/2019;0;DIRE
Obx54ySqFt_5864;01/01/2019;A0035;10564;67PR221D;572;19791;1066785,7;6869697,74;0;67PR232D;173;30355;1061183,13;6860935,93;0;I;0;ACCROCHE;A0035_M3;0;;;;;01/06/2019;0;DIRE
Obx54ySqFt_5865;01/01/2019;A0035;4047;67PR232D;173;30355;1061183,13;6860935,93;0;67PR236D;234;34402;1058783,52;6857748,58;0;I;0;ACCROCHE;A0035_M4;0;;;;;01/06/2020;0;DIRE
Obx54ySqFt_5866;01/01/2019;A0035;9430;67PR236D;234;34402;1058783,52;6857748,58;0;67PR245D;700;43832;1051319,21;6852575,03;0;I;0;ACCROCHE;A0035_M5;1;HOERDT HIPPODROME;MZB67.D;2;QT, TT, VT, LC, VC;28/01/2016;0;DIRE
Obx54ySqFt_5867;01/01/2019;A0035;2179;67PR309D;1006;56764;1046325,79;6835838,68;0;67PR312D;200;58943;1044301,45;6835154,4;0;I;0;ACCROCHE;A0035_M12;1;GENS DU VOYAGE;MST67.I;2;QT, TT, VT, LC, VC;13/02/2002;0;DIRE
Obx54ySqFt_5868;01/01/2019;A0035;5772;67PR312D;200;58943;1044301,45;6835154,4;0;67PR319D;0;64715;1038719,8;6834368,43;0;I;0;ACCROCHE;A0035_M13;1;DUPPIGHEIM_S;MST67.Z;2;QT, TT, VT, LC, VC;01/08/2011;0;DIRE
Obx54ySqFt_5869;01/01/2019;A0035;9742;67PR319D;0;64715;1038719,8;6834368,43;0;67PR418D;0;74457;1033536,31;6826941,95;0;I;0;ACCROCHE;A0035_M14;1;INNENHEIM_N;MST67.6;2;QT, TT, VT, LC, VC;08/08/2011;0;DIRE
Obx54ySqFt_5870;01/01/2019;A0035;17467;67PR418D;0;74457;1033536,31;6826941,95;0;67PR435D;0;91924;1031961,96;6811054,6;0;I;0;ACCROCHE;A0035_M15;1;GERTWILLER;MZB67.W;2;QT, TT, VT, LC, VC;01/11/2009;0;DIRE
Obx54ySqFt_5871;01/01/2019;A0035;7599;67PR435D;0;91924;1031961,96;6811054,6;0;67PR442D;600;99523;1027711,9;6804940,36;0;I;0;ACCROCHE;A0035_M16;1;SELESTAT NORD;MZB67.5;2;QT, TT, VT, LC, VC;01/01/2017;0;DIRE
Obx54ySqFt_5872;01/01/2019;A0035;5852;67PR442D;600;99523;1027711,9;6804940,36;0;68PR1D;450;105375;1026789,6;6799218,2;0;I;0;ACCROCHE;A0035_M17;0;SELESTAT SUD;;;;01/06/2019;0;DIRE
